,SPI Index,SPI19 Index,SMCI Index,SPI21 Index,M9EUHCSC Index,M9EUINSC Index,M9EUFNSC Index,M9EUMTSC Index,M9EUITSC Index,M9EUCSSC Index,M9EUCDSC Index,M9EUHCLC Index,M9EUINLC Index,M9EUFNLC Index,M9EUMTLC Index,M9EUCSLC Index,EURCHF Curncy
1996-01-04,2182.67,2184.72,2049.35,2219.26,244.38,122.25,233.24,231.78,904.78,267.73,321.26,428.3,436.69,366.38,293.14,362.84,
1996-01-05,2175.09,2181.0,2054.88,2208.69,243.83,122.96,233.4,232.41,905.29,268.39,321.74,427.02,435.66,364.1,291.53,361.52,
1996-01-08,2176.68,2194.96,2071.98,2206.46,244.47,123.21,233.76,233.78,911.37,268.4,322.68,427.52,438.03,364.37,290.23,362.57,
1996-01-09,2174.13,2204.0,2077.84,2201.63,243.78,120.82,234.01,233.89,911.33,268.46,323.1,424.91,437.71,362.97,291.18,361.74,
1996-01-10,2149.15,2179.43,2068.74,2173.13,243.8,119.53,233.28,233.69,898.59,267.45,323.03,419.14,435.68,360.74,289.76,358.76,
1996-01-11,2130.16,2168.66,2059.34,2151.69,242.84,120.37,233.09,233.41,893.21,267.2,322.1,416.14,434.96,358.83,288.78,357.08,
1996-01-12,2139.84,2185.83,2068.78,2161.15,244.75,120.39,233.58,233.9,899.46,267.37,322.73,416.71,437.15,360.51,290.14,358.45,
1996-01-15,2108.88,2174.12,2056.72,2125.24,245.42,119.03,233.68,233.6,898.42,266.89,323.4,414.67,437.27,359.36,290.01,359.69,
1996-01-16,2119.86,2168.67,2058.18,2138.97,246.93,118.16,234.21,234.07,901.0,267.79,324.7,420.63,440.37,361.91,292.31,363.3,
1996-01-17,2104.4,2173.25,2057.97,2119.38,245.45,118.04,234.13,234.05,901.92,268.36,325.49,419.39,439.65,361.73,290.9,363.25,
1996-01-18,2123.02,2170.89,2061.76,2142.09,247.87,118.23,234.56,234.45,904.44,269.75,326.71,423.69,442.11,365.18,292.09,364.27,
1996-01-19,2123.28,2180.23,2070.59,2140.15,249.36,119.16,235.54,235.74,905.68,270.18,328.85,424.92,443.68,366.94,292.87,364.13,
1996-01-22,2123.44,2186.03,2067.76,2140.72,250.05,121.54,235.77,236.12,907.73,270.29,329.29,426.75,444.16,365.83,292.36,364.95,
1996-01-23,2105.53,2178.41,2059.24,2120.31,249.32,121.69,235.27,235.32,905.11,269.6,328.87,423.71,441.33,363.65,291.29,364.3,
1996-01-24,2106.07,2175.54,2062.02,2121.13,251.69,122.43,235.45,236.36,902.72,270.43,329.23,426.23,444.89,365.35,293.51,366.1,
1996-01-25,2102.23,2178.98,2072.13,2113.38,253.75,122.82,235.67,236.52,911.81,271.2,330.86,426.61,445.34,364.36,293.19,364.05,
1996-01-26,2090.48,2180.26,2062.62,2100.58,254.81,123.71,235.78,235.42,912.27,270.98,330.84,424.3,445.39,364.04,293.27,361.8,
1996-01-29,2093.71,2184.95,2060.75,2104.85,253.89,124.07,236.06,235.63,911.5,271.56,330.92,425.25,445.87,363.46,294.64,362.31,
1996-01-30,2115.35,2189.01,2068.53,2130.25,254.38,124.36,236.29,236.71,912.72,271.89,332.19,429.29,449.81,364.97,296.32,362.89,
1996-01-31,2122.27,2201.89,2083.74,2135.18,256.25,124.38,236.98,238.42,921.32,272.23,333.85,434.93,453.08,367.65,298.33,364.82,
1996-02-01,2144.07,2219.13,2104.54,2157.46,256.81,125.81,237.76,240.72,927.06,272.53,335.3,436.23,453.22,368.39,300.2,364.92,
1996-02-02,2141.19,2219.35,2114.42,2151.72,255.42,126.54,238.1,241.46,927.31,273.17,335.49,437.22,455.2,367.71,301.94,364.06,
1996-02-05,2114.47,2208.86,2099.26,2121.76,253.21,126.92,237.33,240.61,922.52,272.67,335.67,430.91,450.49,362.85,298.55,360.05,
1996-02-06,2130.88,2216.81,2107.74,2140.27,253.7,127.64,237.78,241.09,927.4,273.76,336.22,432.74,453.76,363.71,300.02,360.54,
1996-02-07,2135.16,2218.75,2110.92,2144.9,255.18,127.09,238.16,241.34,928.57,274.15,337.45,432.93,454.84,363.13,301.7,361.46,
1996-02-08,2124.75,2214.97,2104.27,2133.37,257.12,127.29,238.35,240.14,932.94,274.06,338.01,433.39,452.86,360.48,298.36,359.47,
1996-02-09,2121.25,2207.96,2098.86,2130.42,257.42,127.25,238.47,239.78,933.82,274.22,338.18,434.45,451.41,359.95,297.5,359.74,
1996-02-12,2125.58,2209.85,2097.31,2136.12,257.48,127.45,238.28,239.41,937.54,273.55,338.26,434.72,453.46,360.46,298.07,359.53,
1996-02-13,2129.41,2208.9,2096.44,2141.16,258.75,127.39,238.51,240.05,937.6,274.29,338.29,437.48,455.47,362.73,298.37,360.55,
1996-02-14,2132.52,2214.38,2095.47,2145.05,258.24,127.93,238.58,239.49,942.86,273.97,339.14,436.4,453.68,361.16,296.45,359.31,
1996-02-15,2135.17,2216.82,2096.38,2148.1,258.2,127.74,238.93,239.58,946.05,273.55,340.47,437.35,454.51,363.45,297.51,360.39,
1996-02-16,2136.41,2222.93,2092.49,2150.24,259.09,127.71,238.79,239.98,947.28,274.36,341.31,437.63,453.45,362.69,296.47,359.31,
1996-02-19,2128.24,2227.41,2084.31,2141.52,257.93,127.71,238.47,239.24,943.57,273.96,341.25,434.85,449.71,359.57,294.71,356.55,
1996-02-20,2115.21,2230.89,2082.63,2125.34,257.75,126.67,238.1,238.51,941.81,274.13,341.27,431.87,446.8,357.17,294.11,353.81,
1996-02-21,2118.0,2228.69,2081.93,2129.09,256.01,127.77,238.27,238.49,940.95,274.03,340.7,433.79,447.9,357.75,295.05,353.76,
1996-02-22,2126.21,2235.86,2089.51,2137.51,257.13,129.82,239.15,239.37,946.34,275.04,342.57,437.68,451.79,359.92,299.06,355.06,
1996-02-23,2143.94,2244.19,2095.02,2158.3,258.68,129.9,239.72,241.06,957.51,275.62,344.22,442.48,455.01,362.11,301.68,355.17,
1996-02-26,2144.72,2243.58,2094.95,2159.32,257.73,129.83,239.43,240.88,955.93,275.61,344.17,442.33,452.86,358.6,300.89,354.1,
1996-02-27,2150.17,2237.23,2094.29,2166.59,259.91,129.21,239.7,241.08,956.3,276.34,344.88,443.79,454.03,359.54,302.72,356.46,
1996-02-28,2178.76,2249.16,2107.56,2199.25,261.18,129.04,240.43,241.84,964.35,277.22,346.63,446.43,458.1,363.84,306.18,360.25,
1996-02-29,2177.74,2248.36,2115.74,2196.24,261.52,129.19,240.97,242.31,965.57,277.03,347.37,444.81,457.66,363.1,305.97,359.16,
1996-03-01,2193.81,2246.11,2127.74,2213.98,263.09,128.75,241.75,243.31,981.12,277.42,349.37,446.64,460.9,366.58,307.06,360.67,
1996-03-04,2200.02,2246.75,2129.75,2221.35,263.81,128.26,242.27,243.67,982.69,277.58,350.08,447.83,461.54,366.51,308.4,361.96,
1996-03-05,2191.53,2243.14,2129.84,2210.79,264.41,128.86,242.3,243.02,987.21,277.99,351.52,448.75,460.72,365.39,309.13,360.84,
1996-03-06,2204.73,2241.27,2126.97,2228.1,263.84,129.09,242.13,242.59,984.68,277.14,352.5,445.41,459.03,364.01,308.8,361.1,
1996-03-07,2287.37,2240.99,2132.29,2330.96,262.76,129.29,242.04,242.1,983.81,278.08,353.31,457.79,459.28,362.62,319.03,361.2,
1996-03-08,2272.98,2237.3,2134.12,2312.6,262.07,126.4,241.31,241.19,974.93,277.26,352.37,455.05,454.18,358.09,315.57,357.8,
1996-03-11,2243.05,2228.2,2109.82,2280.51,260.01,127.54,239.31,238.81,963.94,275.49,348.09,447.99,450.09,351.8,313.48,354.65,
1996-03-12,2262.13,2235.17,2124.27,2301.15,260.92,127.41,240.19,239.66,968.75,275.83,349.91,449.55,451.27,349.36,316.51,354.75,
1996-03-13,2271.62,2240.11,2129.52,2311.77,260.79,128.5,239.84,240.76,970.46,276.02,350.74,445.94,452.26,348.87,317.45,357.7,
1996-03-14,2282.98,2244.99,2136.14,2324.45,261.19,129.28,240.11,241.04,978.86,276.87,350.77,450.38,455.7,351.74,318.7,358.84,
1996-03-15,2275.25,2255.2,2137.57,2314.0,262.0,130.16,240.42,240.96,976.3,278.26,351.2,447.87,454.93,349.59,319.2,356.42,
1996-03-18,2286.29,2246.81,2141.37,2327.42,262.3,132.04,240.88,240.94,979.75,279.26,351.95,450.79,456.41,351.87,321.19,359.21,
1996-03-19,2299.18,2260.85,2152.32,2340.72,264.24,132.65,241.21,241.61,986.55,280.61,353.33,453.02,460.08,353.69,324.37,361.72,
1996-03-20,2304.54,2263.43,2161.02,2345.5,263.84,132.94,241.46,241.44,991.76,280.08,353.67,451.89,459.74,354.08,323.49,363.57,
1996-03-21,2316.61,2265.79,2160.17,2360.78,265.72,132.8,241.96,241.73,996.5,280.66,354.32,456.75,459.18,355.93,323.14,363.27,
1996-03-22,2327.55,2255.93,2175.44,2371.68,266.88,132.62,241.88,241.82,999.12,281.43,355.49,460.86,458.97,356.13,325.07,361.91,
1996-03-25,2342.52,2266.61,2182.16,2388.64,266.57,132.14,242.38,241.76,1002.96,281.77,356.24,462.2,456.33,356.11,324.66,362.39,
1996-03-26,2333.23,2261.2,2177.59,2378.14,266.3,132.03,241.89,241.45,997.9,281.76,357.26,463.2,453.53,353.58,322.73,362.36,
1996-03-27,2339.85,2274.32,2190.11,2383.26,266.64,133.3,242.35,241.46,1001.18,282.08,358.47,464.77,456.01,355.76,325.18,364.95,
1996-03-28,2322.62,2266.87,2180.74,2363.87,266.39,133.65,242.36,241.15,994.08,281.91,359.09,460.66,456.14,354.13,323.55,362.63,
1996-03-29,2325.46,2265.51,2190.6,2365.4,266.42,134.64,243.19,241.77,996.12,283.14,360.32,460.72,456.9,354.54,323.68,364.63,
1996-04-01,2330.25,2272.68,2194.45,2370.31,266.9,135.63,243.39,242.04,999.92,284.42,361.32,461.51,457.74,356.37,323.54,366.55,
1996-04-02,2329.4,2279.1,2199.37,2367.91,267.76,136.73,243.63,242.56,1003.95,285.18,362.51,463.64,458.17,358.03,324.39,366.17,
1996-04-03,2309.66,2283.04,2199.31,2342.9,267.94,136.62,243.44,242.27,1006.08,286.0,362.81,460.63,456.62,356.92,322.85,365.11,
1996-04-04,2312.99,2286.17,2206.03,2345.53,268.43,136.93,243.29,242.54,1008.99,287.17,363.43,462.0,457.27,358.78,323.62,367.0,
1996-04-05,2312.99,2286.17,2206.03,2345.53,268.47,136.93,243.41,242.59,1008.99,287.03,363.56,462.0,457.19,358.52,323.62,367.0,
1996-04-08,2312.99,2286.17,2206.03,2345.53,268.47,136.02,243.29,242.57,1008.89,286.96,363.56,462.0,457.19,358.34,323.62,366.79,
1996-04-09,2301.72,2275.69,2194.66,2334.2,268.97,137.08,243.47,242.47,1010.01,285.1,362.74,460.07,458.41,359.38,323.11,366.12,
1996-04-10,2304.96,2272.35,2195.4,2338.26,271.63,136.53,243.5,243.43,1014.87,286.8,364.49,458.85,462.03,361.15,327.22,367.5,
1996-04-11,2284.21,2257.74,2184.83,2315.0,270.46,136.19,243.43,243.78,1016.08,285.83,364.49,452.45,461.29,357.93,326.09,365.22,
1996-04-12,2290.32,2265.05,2188.62,2321.58,269.87,136.36,243.49,243.77,1021.19,285.86,365.01,451.23,463.19,358.34,326.2,366.95,
1996-04-15,2295.62,2249.98,2183.55,2329.97,270.61,136.99,243.85,244.76,1023.73,286.35,365.72,454.79,466.84,360.85,328.61,368.71,
1996-04-16,2308.96,2279.87,2197.74,2342.49,272.84,137.49,244.4,245.25,1025.05,286.55,366.71,455.51,469.26,361.52,331.23,371.86,
1996-04-17,2307.45,2291.31,2197.02,2340.27,275.46,136.99,244.5,245.45,1028.13,286.88,367.58,454.15,467.68,359.37,332.2,371.11,
1996-04-18,2310.99,2307.76,2190.96,2345.34,277.34,138.14,244.69,246.55,1029.87,287.92,369.2,456.01,469.31,359.46,333.3,371.34,
1996-04-19,2323.45,2327.35,2196.39,2359.07,279.28,138.49,245.5,247.29,1042.89,290.13,371.34,460.94,472.11,361.96,334.8,373.0,
1996-04-22,2350.65,2332.8,2217.3,2388.63,280.17,139.61,246.4,248.4,1053.86,291.75,372.99,462.66,475.02,365.1,337.29,376.23,
1996-04-23,2339.94,2321.16,2219.08,2375.23,280.78,140.02,246.2,248.99,1057.45,290.91,373.86,461.26,473.96,363.19,336.14,375.49,
1996-04-24,2351.47,2330.57,2226.56,2387.76,279.81,140.75,246.63,249.01,1057.41,290.16,373.97,462.07,474.61,363.01,336.39,376.47,
1996-04-25,2350.01,2334.98,2220.36,2387.06,281.07,141.02,246.87,249.22,1055.05,290.34,374.0,459.97,475.28,362.99,336.29,375.99,
1996-04-26,2368.77,2348.81,2241.27,2405.64,283.06,142.36,247.57,248.99,1060.96,290.58,375.34,462.41,477.58,364.9,337.48,377.74,
1996-04-29,2353.19,2346.64,2225.2,2389.55,282.86,144.09,247.93,248.05,1062.39,290.13,374.94,461.3,473.56,362.84,333.73,375.6,
1996-04-30,2352.06,2289.21,2228.92,2386.98,282.62,143.45,247.71,248.69,1068.57,292.16,375.15,461.22,472.45,363.21,332.95,376.67,
1996-05-01,2352.06,2289.21,2228.92,2386.98,283.66,144.86,247.85,248.69,1067.58,292.28,375.28,462.6,472.67,363.21,332.98,375.85,
1996-05-02,2342.23,2217.72,2223.63,2376.04,284.76,143.29,248.44,249.03,1070.91,293.18,375.95,460.15,471.94,362.42,331.52,376.82,
1996-05-03,2328.03,2275.44,2214.54,2360.37,283.81,143.65,247.47,247.73,1065.27,292.66,374.44,451.97,468.78,361.2,329.13,373.8,
1996-05-06,2314.71,2323.55,2208.03,2345.69,283.44,144.23,247.1,247.9,1069.09,292.19,374.36,450.37,468.63,360.84,329.06,373.63,
1996-05-07,2312.8,2323.19,2214.78,2341.84,285.87,143.83,247.33,250.44,1071.53,292.2,374.66,447.46,468.48,360.19,328.88,373.57,
1996-05-08,2284.2,2319.39,2203.3,2308.39,286.72,143.2,246.92,249.65,1066.9,291.88,374.05,443.52,466.37,357.68,326.61,371.92,
1996-05-09,2276.31,2326.74,2199.22,2299.0,287.56,144.61,246.82,249.84,1057.04,291.28,373.95,441.72,468.63,358.16,325.93,372.58,
1996-05-10,2296.35,2331.54,2211.08,2321.52,288.69,145.54,247.02,250.32,1053.86,291.19,373.67,444.63,472.74,360.23,326.04,375.56,
1996-05-13,2301.9,2338.41,2209.04,2328.67,289.47,146.74,247.23,251.16,1058.32,291.38,374.34,445.99,472.35,360.5,325.45,375.62,
1996-05-14,2315.34,2346.83,2210.56,2344.94,288.23,148.45,247.69,251.78,1063.44,292.04,375.57,448.88,474.2,363.06,328.27,377.25,
1996-05-15,2310.07,2350.21,2207.49,2338.8,291.0,149.05,248.08,251.36,1069.07,292.54,375.18,450.09,475.41,363.3,328.92,377.44,
1996-05-16,2310.07,2350.21,2207.49,2338.8,290.62,149.2,248.14,251.58,1071.16,292.8,374.56,453.96,472.99,362.76,328.21,376.32,
1996-05-17,2319.6,2350.91,2209.4,2350.38,291.23,149.98,248.53,252.47,1073.71,294.14,375.39,457.18,475.42,365.34,330.01,377.44,
1996-05-20,2312.33,2351.96,2201.65,2342.84,292.6,150.35,248.48,253.4,1080.44,294.94,374.87,459.41,474.46,364.0,330.84,376.6,
1996-05-21,2313.42,2352.51,2204.76,2343.52,291.91,150.39,248.62,253.47,1087.35,294.44,375.81,461.63,474.8,364.43,331.27,378.18,
1996-05-22,2289.77,2354.94,2187.72,2317.24,289.68,150.14,248.54,253.02,1089.6,294.64,375.5,457.53,473.14,361.28,329.14,378.46,
1996-05-23,2290.15,2354.24,2191.28,2316.99,290.51,150.59,248.62,252.65,1094.34,294.46,375.98,456.82,473.66,360.62,329.13,380.36,
1996-05-24,2306.14,2365.3,2203.26,2334.11,289.76,151.33,248.47,253.06,1097.7,294.9,376.51,456.92,472.76,361.13,329.14,380.59,
1996-05-27,2306.14,2365.3,2203.26,2334.11,289.79,151.33,248.35,253.39,1097.53,294.84,376.59,456.92,472.75,361.18,329.07,380.61,
1996-05-28,2313.77,2372.02,2214.56,2341.02,289.35,150.06,248.45,253.98,1101.21,294.23,377.05,459.81,474.15,361.63,328.86,381.78,
1996-05-29,2300.62,2373.58,2213.29,2324.64,289.49,149.14,248.46,255.04,1098.14,294.59,376.41,458.96,473.3,361.29,327.23,380.91,
1996-05-30,2287.34,2356.7,2201.03,2311.24,288.08,149.02,248.08,255.83,1098.06,294.18,375.77,455.57,470.45,358.39,324.99,377.71,
1996-05-31,2299.26,2359.73,2209.5,2324.33,287.71,149.86,248.81,254.69,1103.74,294.76,376.17,456.6,470.89,360.37,326.66,379.45,
1996-06-03,2291.75,2359.61,2195.7,2317.82,288.28,151.26,248.34,253.79,1101.49,294.97,376.59,455.13,469.02,359.32,326.08,378.78,
1996-06-04,2303.76,2363.05,2198.29,2332.27,287.49,150.85,248.32,253.77,1105.68,295.58,377.22,457.44,470.62,361.19,326.64,381.05,
1996-06-05,2315.38,2364.82,2201.3,2346.21,287.19,151.72,248.57,253.82,1108.22,297.94,377.64,457.27,470.15,362.49,326.89,382.68,
1996-06-06,2327.87,2379.86,2208.85,2359.7,287.8,149.87,248.79,253.77,1112.71,298.01,379.17,459.9,472.14,363.02,327.25,383.17,
1996-06-07,2308.03,2370.23,2199.83,2337.0,288.1,148.46,248.05,253.12,1110.04,299.01,378.74,455.46,468.31,358.39,324.46,379.16,
1996-06-10,2324.15,2373.46,2213.49,2354.27,289.48,148.46,248.48,254.83,1116.47,300.03,379.21,457.72,470.47,360.65,326.41,381.57,
1996-06-11,2322.25,2360.07,2203.09,2354.69,290.01,148.46,248.4,253.99,1114.7,298.95,378.91,458.46,470.38,361.06,327.04,383.35,
1996-06-12,2334.66,2373.6,2202.29,2369.95,291.42,148.35,248.64,253.8,1113.55,298.94,379.49,459.16,472.34,361.16,327.66,384.24,
1996-06-13,2337.05,2376.71,2199.32,2373.46,291.12,147.18,248.58,253.32,1120.22,299.27,379.58,459.98,469.6,359.29,329.53,383.17,
1996-06-14,2330.5,2379.96,2199.02,2365.12,291.1,146.32,248.4,253.08,1117.29,299.26,379.15,459.49,468.33,357.77,328.58,381.91,
1996-06-17,2333.47,2376.95,2196.68,2369.5,290.16,145.58,248.39,252.98,1113.77,299.46,379.21,461.66,468.82,357.4,328.8,382.32,
1996-06-18,2348.1,2372.16,2203.01,2386.82,290.63,144.45,248.38,252.97,1110.06,299.85,379.63,462.1,467.69,359.26,329.11,381.7,
1996-06-19,2354.44,2370.87,2202.79,2394.93,290.55,144.19,248.41,252.72,1106.66,299.41,379.69,461.44,465.89,359.43,330.09,382.06,
1996-06-20,2361.56,2373.25,2208.52,2402.57,292.1,142.99,248.2,250.53,1104.26,300.08,379.03,460.98,464.71,356.72,329.3,380.58,
1996-06-21,2377.81,2380.11,2210.23,2422.42,293.57,143.82,248.41,249.81,1098.77,300.83,378.59,463.24,464.62,356.65,329.38,381.95,
1996-06-24,2386.83,2379.05,2208.22,2434.29,293.34,144.4,248.55,251.81,1096.53,301.53,379.11,464.6,461.58,357.63,331.11,383.96,
1996-06-25,2385.59,2366.11,2209.34,2433.05,291.64,143.3,248.36,249.34,1086.33,300.86,377.95,463.02,460.42,357.54,329.9,383.88,
1996-06-26,2400.48,2366.18,2219.21,2449.72,290.35,142.24,248.03,249.03,1083.49,300.59,375.64,465.96,464.83,359.32,330.47,383.76,
1996-06-27,2389.54,2358.68,2214.59,2437.22,289.27,142.69,247.6,248.23,1075.18,299.91,374.03,464.91,462.9,357.33,328.4,382.58,
1996-06-28,2407.04,2370.14,2222.93,2457.03,290.08,144.85,248.16,247.98,1075.35,300.41,373.97,467.7,465.77,360.69,330.12,386.03,
1996-07-01,2404.49,2369.35,2214.96,2455.6,289.69,145.54,248.63,247.59,1081.81,299.8,375.06,468.11,466.22,361.15,330.12,387.33,
1996-07-02,2415.55,2363.45,2216.73,2469.37,291.75,145.23,248.81,247.12,1078.79,299.52,375.01,467.13,465.68,362.66,330.41,387.41,
1996-07-03,2417.58,2360.73,2214.19,2472.59,291.3,144.76,248.06,246.78,1075.62,299.85,374.69,467.76,464.11,362.05,329.08,388.01,
1996-07-04,2425.53,2361.29,2212.46,2482.96,290.84,144.76,247.93,247.61,1071.18,299.23,374.7,471.24,465.85,364.46,330.82,391.6,
1996-07-05,2406.49,2358.57,2209.86,2459.64,290.58,143.17,247.55,247.1,1068.17,299.61,374.66,468.59,464.74,362.04,329.4,389.12,
1996-07-08,2404.34,2341.72,2201.38,2459.43,288.6,141.68,246.45,245.6,1056.25,298.36,372.76,466.39,461.32,360.58,326.92,387.94,
1996-07-09,2425.58,2337.35,2203.95,2485.79,288.34,141.96,246.5,245.73,1057.34,298.81,372.95,468.88,462.98,362.34,328.38,388.93,
1996-07-10,2432.32,2339.99,2205.06,2493.95,288.52,140.72,246.3,245.89,1056.13,298.68,372.61,470.63,461.77,364.41,329.06,388.69,
1996-07-11,2443.87,2345.36,2207.23,2507.83,287.78,137.27,246.27,245.53,1050.2,297.98,371.22,471.01,459.96,364.71,328.33,386.66,
1996-07-12,2427.74,2336.83,2198.38,2489.77,285.34,136.4,245.12,244.21,1036.57,297.66,368.49,466.41,456.14,362.76,326.46,383.56,
1996-07-15,2408.97,2331.76,2188.74,2468.42,282.31,132.33,244.3,243.81,1028.05,295.64,365.75,463.46,454.3,360.21,325.6,381.0,
1996-07-16,2359.27,2296.83,2147.84,2416.06,275.81,130.72,241.25,239.88,999.93,291.92,358.42,453.4,446.11,353.67,318.58,373.19,
1996-07-17,2348.85,2285.97,2137.14,2405.3,275.32,134.22,241.49,240.44,1007.16,291.69,358.29,454.65,448.0,355.15,318.68,373.02,
1996-07-18,2346.4,2288.34,2136.62,2402.63,276.6,135.88,241.94,240.36,1012.76,291.7,357.97,455.18,448.11,358.5,319.24,375.31,
1996-07-19,2352.94,2297.27,2141.68,2409.42,278.38,135.52,243.18,241.06,1025.31,292.52,359.84,458.4,449.12,360.49,320.33,375.37,
1996-07-22,2297.39,2281.72,2108.64,2347.24,277.35,134.15,242.25,240.05,1021.06,291.76,358.16,451.08,444.66,355.95,314.48,369.24,
1996-07-23,2306.09,2275.72,2103.32,2359.61,276.93,131.02,242.0,239.89,1021.36,291.55,357.83,454.17,445.43,358.01,314.51,371.39,
1996-07-24,2240.7,2259.13,2064.9,2286.25,272.4,129.7,240.11,237.89,1004.05,289.42,354.06,443.0,438.18,353.38,308.77,366.58,
1996-07-25,2275.19,2266.12,2082.48,2325.61,272.66,130.82,241.64,237.09,1010.79,289.51,355.25,448.54,442.51,357.01,311.5,369.78,
1996-07-26,2275.49,2270.03,2087.48,2324.73,272.12,132.26,242.07,237.44,1013.92,289.34,355.24,448.07,440.82,356.8,312.82,368.91,
1996-07-29,2283.14,2261.95,2083.53,2335.55,272.82,132.17,242.42,236.79,1011.13,289.52,355.37,449.32,442.03,356.98,313.23,370.3,
1996-07-30,2264.86,2258.2,2070.62,2315.49,273.18,132.3,241.81,235.64,1008.68,288.97,354.59,447.99,440.61,356.03,311.36,369.79,
1996-07-31,2251.89,2251.17,2069.04,2299.74,273.29,132.96,242.51,235.28,1008.61,289.21,354.38,449.12,443.18,360.2,312.59,373.47,
1996-08-01,2251.89,2251.17,2069.04,2299.74,273.68,135.27,242.91,235.85,1011.69,290.15,355.44,451.17,445.64,364.04,313.13,375.9,
1996-08-02,2307.09,2267.93,2065.58,2369.49,275.14,138.84,243.8,236.59,1017.57,290.87,357.06,460.78,448.62,369.41,316.54,380.63,
1996-08-05,2321.26,2263.28,2092.92,2381.5,276.4,138.77,244.69,236.33,1020.02,290.72,358.28,462.31,449.25,370.5,317.67,379.86,
1996-08-06,2328.68,2267.38,2098.54,2389.46,277.27,138.47,244.78,236.77,1025.17,289.89,358.9,460.87,447.88,370.6,317.18,378.72,
1996-08-07,2349.34,2285.29,2109.52,2412.42,277.65,138.77,245.23,236.31,1026.49,289.89,359.57,463.3,450.79,373.12,318.68,380.38,
1996-08-08,2345.93,2296.75,2110.82,2407.41,278.41,138.95,246.14,236.94,1027.32,289.38,360.64,462.81,453.39,372.45,321.2,380.51,
1996-08-09,2339.85,2290.29,2097.46,2402.93,278.69,138.38,246.21,235.99,1025.6,290.09,361.38,462.75,452.34,371.19,320.66,379.38,
1996-08-12,2328.21,2288.56,2099.82,2387.79,279.05,138.81,246.29,236.41,1022.66,289.75,361.6,460.34,451.1,370.57,320.13,378.76,
1996-08-13,2332.53,2288.39,2105.44,2392.02,279.52,138.32,246.73,236.67,1023.18,289.84,361.83,463.32,452.72,372.28,321.08,379.92,
1996-08-14,2341.92,2291.35,2108.07,2403.16,278.44,138.79,246.75,236.74,1020.97,289.79,361.48,465.33,453.18,371.88,322.58,380.57,
1996-08-15,2338.07,2290.82,2106.87,2398.59,279.2,139.14,247.06,237.02,1024.55,289.8,361.86,464.46,453.31,372.88,324.19,380.75,
1996-08-16,2351.81,2290.35,2114.02,2403.82,278.66,139.38,247.7,237.46,1028.51,290.13,361.95,465.8,454.49,374.75,325.95,382.73,
1996-08-19,2349.08,2288.75,2119.15,2409.85,278.66,140.19,247.82,237.57,1030.93,290.29,362.81,466.42,454.31,373.15,326.45,383.14,
1996-08-20,2365.68,2293.88,2125.76,2429.13,279.1,139.86,248.48,237.85,1030.64,290.95,363.65,470.21,456.5,374.93,327.01,385.71,
1996-08-21,2359.64,2288.1,2126.61,2421.55,279.18,139.52,248.56,237.81,1029.84,291.29,363.88,471.02,453.99,372.44,325.27,383.81,
1996-08-22,2376.5,2287.36,2138.14,2440.29,280.08,139.74,249.27,237.8,1031.95,291.75,364.66,474.76,457.24,374.19,327.93,385.88,
1996-08-23,2382.2,2294.06,2146.33,2445.42,280.31,141.06,249.84,238.39,1036.39,293.02,365.24,476.08,456.56,373.99,329.01,386.5,
1996-08-26,2376.46,2285.56,2151.03,2437.46,280.06,140.68,249.87,238.45,1035.51,292.82,365.35,476.35,456.33,372.8,329.11,385.38,
1996-08-27,2380.47,2285.46,2148.54,2443.08,279.97,141.38,249.72,238.73,1036.61,291.63,364.79,476.33,457.88,373.59,330.98,385.69,
1996-08-28,2366.29,2286.99,2149.95,2424.82,280.21,142.23,249.95,239.2,1035.72,292.63,365.54,475.92,459.12,374.21,328.9,386.15,
1996-08-29,2361.03,2288.37,2144.41,2419.37,279.82,141.51,249.95,239.11,1038.92,292.65,364.84,474.53,456.98,372.34,326.54,382.16,
1996-08-30,2342.99,2298.66,2144.99,2395.95,280.33,140.8,249.99,238.61,1039.13,292.78,364.67,471.39,455.4,368.49,324.81,380.36,
1996-09-02,2346.37,2292.74,2137.98,2402.07,280.18,140.8,249.88,238.82,1043.96,293.06,364.74,472.21,456.13,367.93,325.99,380.89,
1996-09-03,2327.78,2286.2,2122.59,2382.25,278.54,140.36,249.3,237.44,1033.43,291.71,363.16,468.63,453.48,364.42,323.93,378.55,
1996-09-04,2335.24,2275.17,2128.48,2390.78,278.47,140.55,250.09,238.35,1038.14,292.44,364.09,470.18,456.53,366.93,326.34,379.69,
1996-09-05,2325.9,2268.4,2105.31,2384.49,278.69,139.5,250.23,238.99,1039.34,292.37,363.66,473.65,456.49,366.32,326.41,381.25,
1996-09-06,2332.73,2273.94,2110.22,2391.83,279.57,140.38,250.28,238.2,1039.08,292.97,363.23,474.06,456.2,366.74,326.99,383.04,
1996-09-09,2360.66,2267.31,2139.54,2420.8,279.8,140.58,250.77,239.15,1047.29,292.45,364.55,476.34,460.65,370.82,329.64,385.29,
1996-09-10,2366.93,2270.16,2141.81,2428.13,279.71,140.7,251.21,239.95,1047.73,291.84,365.13,477.5,463.59,372.16,331.34,387.92,
1996-09-11,2356.47,2267.06,2137.89,2415.87,279.4,140.6,251.47,239.99,1040.75,291.8,364.51,476.69,461.66,371.37,329.8,385.7,
